intitule_poste,ville,date_publication,mois,contrat,entreprise,source,secteur,competences,experience,exp_min,exp_max
Stagiaire Secrétaire Juridique,Dakar,2025-10-10,2025-10-01,CDD,FB AVOCAT IMMIGRATION,goafricaonline.com,"Finance, Banque & Comptabilité",,Non spécifié,,
Agent de sécurité,Dakar,2025-10-10,2025-10-01,CDD,AXESS SECURITE,goafricaonline.com,Sécurité,"communication, santé",Non spécifié,,
Professeur d’anglais,Dakar,2025-10-10,2025-10-01,CDD,CABINET RHSN,goafricaonline.com,RH & Recrutement,rh,2,2.0,2.0
Professeurs (rentrée 2025-2026),Dakar,2025-10-10,2025-10-01,Non spécifié,JANGALMA,goafricaonline.com,Education & Formation,finance,5,5.0,5.0
"Agent Ship Handling, Bunkers, Husbandry & Vessel Services",Dakar,2025-10-10,2025-10-01,CDD,TERANGA MANPOWER,goafricaonline.com,RH & Recrutement,logistique,3-5,3.0,5.0
Soudeurs Qualifiés,Dakar,2025-10-10,2025-10-01,CDD,TERANGA MANPOWER,goafricaonline.com,RH & Recrutement,santé,Non spécifié,,
Professeur d’Anglais,Dakar,2025-10-10,2025-10-01,CDD,LYCEE JEAN MERMOZ,goafricaonline.com,Education & Formation,,Non spécifié,,
Stagiaire Logistique & Supply Chain,Dakar,2025-10-10,2025-10-01,CDD,AFRETY,goafricaonline.com,Transport & Logistique,"logistique, data analyse",Non spécifié,,
"Freelance Telemedicine Doctor, Senegal",Dakar,,,CDD,RELIANCE HEATH,goafricaonline.com,Transport & Logistique,"communication, santé, logistique",0-3,0.0,3.0
Responsable Manoeuvre – Coupe & Assemblage (Stores & Rideaux),Dakar,2025-10-10,2025-10-01,CDD,AGENCE HYBRIDE,goafricaonline.com,RH & Recrutement,,Non spécifié,,
Chargé(e) d’Accueil,Dakar,2025-10-10,2025-10-01,CDD,ELITE RH,goafricaonline.com,RH & Recrutement,"vente, marketing, communication, logistique, gestion de projet",3,3.0,3.0
Gestionnaire Administratif,Dakar,2025-10-10,2025-10-01,CDD,UMO MALI,goafricaonline.com,RH & Recrutement,logistique,Non spécifié,,
Maintenance Manager,Dakar,,,CDD,ENERGIA,goafricaonline.com,RH & Recrutement,,Non spécifié,,
Superviseur RH,Dakar,2025-10-10,2025-10-01,CDD,ENERGIA,goafricaonline.com,RH & Recrutement,rh,Non spécifié,,
Directeur Administratif & Financier,Dakar,2025-10-10,2025-10-01,CDD,ENERGIA,goafricaonline.com,RH & Recrutement,"finance, communication",Non spécifié,,
Superviseur Mines,Dakar,2025-10-10,2025-10-01,CDD,ENERGIA,goafricaonline.com,RH & Recrutement,gestion de projet,Non spécifié,,
Coordonnateur Supply Chain,Dakar,2025-10-10,2025-10-01,CDD,Wvi (World Vision International),goafricaonline.com,ONG & Humanitaire,"logistique, communication, vente",Non spécifié,,
Agent de Pointage,Dakar,2025-10-10,2025-10-01,CDD,INTERNATIONAL STAFFING COMPANY,goafricaonline.com,RH & Recrutement,communication,Non spécifié,,
Directeur Commercial Pays,Dakar,2025-10-10,2025-10-01,CDD,BIA DAKAR,goafricaonline.com,Agriculture & Agroalimentaire,"vente, marketing, gestion de projet",5-7,5.0,7.0
Stagiaire en Sécurité des Systèmes d’Information (SSI),Dakar,2025-10-10,2025-10-01,CDI,La Laiterie Du Berger,goafricaonline.com,Agriculture & Agroalimentaire,,Non spécifié,,
Stagiaire Technicien Informatique,Dakar,2025-10-10,2025-10-01,CDI,La Laiterie Du Berger,goafricaonline.com,Agriculture & Agroalimentaire,gestion de projet,Non spécifié,,
Comptable Général,Dakar,2025-10-10,2025-10-01,CDI,La Laiterie Du Berger,goafricaonline.com,Agriculture & Agroalimentaire,finance,Non spécifié,,
Directeur Exécutif,Dakar,2025-10-10,2025-10-01,CDD,OXFAM GRANDE-BRETAGNE,goafricaonline.com,ONG & Humanitaire,,Non spécifié,,
"Ingénieur Fiabilité, Méthodes et Amélioration Continue",Dakar,2025-10-10,2025-10-01,CDI,Institut Pasteur De Dakar,goafricaonline.com,Santé & Bien-être,"communication, data analyse, programmation, santé",5,5.0,5.0
Communications Director,Dakar,2025-10-10,2025-10-01,CDD,OMEGA NRGI,goafricaonline.com,BTP & Industrie,"data analyse, communication",10,10.0,10.0
Assistant Administratif de Direction,Dakar,2025-10-10,2025-10-01,CDD,GPF SARL,goafricaonline.com,"Finance, Banque & Comptabilité","finance, communication, logistique, gestion de projet",3-5,3.0,5.0
Responsable Chaine d’Approvisionnement et Service Client,Dakar,2025-10-10,2025-10-01,CDD,GPF SARL,goafricaonline.com,"Finance, Banque & Comptabilité","vente, finance, logistique",Non spécifié,,
Agent de nettoyage,Dakar,2025-10-10,2025-10-01,CDD,RMO,goafricaonline.com,RH & Recrutement,rh,Non spécifié,,
Téléconseillers en prise de rendez-vous B to B – Dakar,Dakar,2025-10-10,2025-10-01,Non spécifié,LEADS,goafricaonline.com,Commerce & Vente,"vente, marketing, communication",5,5.0,5.0
Agent administratif,Dakar,2025-10-10,2025-10-01,CDD,RMO,goafricaonline.com,RH & Recrutement,rh,Non spécifié,,
2 Magasiniers,Dakar,2025-10-10,2025-10-01,CDD,RMO,goafricaonline.com,RH & Recrutement,rh,Non spécifié,,
3 Vendeuses,Dakar,2025-10-10,2025-10-01,CDD,RMO,goafricaonline.com,RH & Recrutement,rh,Non spécifié,,
2 Gérantes,Dakar,2025-10-10,2025-10-01,CDD,RMO,goafricaonline.com,RH & Recrutement,rh,Non spécifié,,
Agent.e administratif,Dakar,2025-10-10,2025-10-01,CDD/CDI,ALINEA,goafricaonline.com,Commerce & Vente,"marketing, vente, programmation, communication, finance, data analyse, logistique, gestion de projet",10,10.0,10.0
Ingénieur Électromécanique Offshore,Dakar,2025-10-10,2025-10-01,CDD,TERANGA MANPOWER,goafricaonline.com,RH & Recrutement,gestion de projet,3-5,3.0,5.0
Coordonnateur/trice de projet,Dakar,2025-10-10,2025-10-01,CDD/CDI,ALINEA,goafricaonline.com,Commerce & Vente,"marketing, vente, programmation, communication, finance, data analyse, logistique, gestion de projet",10,10.0,10.0
Chef du projet,Dakar,2025-10-10,2025-10-01,CDD/CDI,ALINEA,goafricaonline.com,Commerce & Vente,"marketing, vente, programmation, communication, finance, data analyse, logistique, gestion de projet",10,10.0,10.0
Responsable de la Mobilité dans les Villes Hôtes,Dakar,2025-10-10,2025-10-01,CDD,COJOJ DAKAR 2026,goafricaonline.com,Sport & Loisirs,logistique,Non spécifié,,
Data Scientist (h/f),Dakar,2025-10-10,2025-10-01,CDD,ATOS SENEGAL,goafricaonline.com,Technologie & Informatique,"vente, programmation, communication, data analyse, gestion de projet",5,5.0,5.0
Développeur Full-stack,Dakar,2025-10-10,2025-10-01,CDD,ATOS SENEGAL,goafricaonline.com,Technologie & Informatique,"vente, programmation, communication, data analyse, gestion de projet",5,5.0,5.0
Développeur PHP,Dakar,2025-10-10,2025-10-01,CDD,ATOS SENEGAL,goafricaonline.com,Technologie & Informatique,"vente, programmation, communication, data analyse, gestion de projet",5,5.0,5.0
Développeur Back-end,Dakar,2025-10-10,2025-10-01,CDD,ATOS SENEGAL,goafricaonline.com,Technologie & Informatique,"vente, programmation, communication, data analyse, gestion de projet",5,5.0,5.0
Data Engineer,Dakar,2025-10-10,2025-10-01,CDD,ATOS SENEGAL,goafricaonline.com,Technologie & Informatique,"vente, programmation, communication, data analyse, gestion de projet",5,5.0,5.0
Data Analyst,Dakar,2025-10-10,2025-10-01,CDD,ATOS SENEGAL,goafricaonline.com,Technologie & Informatique,"vente, programmation, communication, data analyse, gestion de projet",5,5.0,5.0
Chef de la Division Comptabilité,Dakar,2025-10-10,2025-10-01,CDD,Onfp (Office National De Formation Professionnelle),goafricaonline.com,Education & Formation,"marketing, finance, programmation, vente, communication, santé, gestion de projet",5,5.0,5.0
Chef du Centre de Ressources Documentation et Information,Dakar,2025-10-10,2025-10-01,CDD,Onfp (Office National De Formation Professionnelle),goafricaonline.com,Education & Formation,"marketing, programmation, vente, communication, finance, santé, gestion de projet",2,2.0,2.0
02 Ingénieurs de Formation Professionnelle et Technique,Dakar,2025-10-10,2025-10-01,CDD,Onfp (Office National De Formation Professionnelle),goafricaonline.com,Education & Formation,"marketing, programmation, vente, communication, finance, santé, logistique, gestion de projet",2,2.0,2.0
Assistant(e) de Direction,Dakar,2025-10-10,2025-10-01,CDD,Onfp (Office National De Formation Professionnelle),goafricaonline.com,Education & Formation,"marketing, programmation, vente, communication, finance, santé, gestion de projet",2,2.0,2.0
Responsable des Ressources Humaines,Dakar,,,Stage,GIZ,goafricaonline.com,Administration & Services publics,"communication, programmation, rh, gestion de projet",Non spécifié,,
Conseiller en mobilisation des entreprises dans la formation professionnelle,Dakar,2025-10-10,2025-10-01,Stage,GIZ,goafricaonline.com,Administration & Services publics,gestion de projet,Non spécifié,,
Annonce d'emploi,Dakar,2025-10-07,2025-10-01,CDD/CDI,QUEST INTERNATIONAL COMPANY,goafricaonline.com,Commerce & Vente,"marketing, vente, programmation, communication, data analyse, logistique, gestion de projet",2,2.0,2.0
Formation en Gestion des Stocks,Dakar,2025-10-05,2025-10-01,Alternance,AFRICAN BUSINESS ACADEMY,goafricaonline.com,Education & Formation,,2,2.0,2.0
Responsable Stock et Magasin,Dakar,2025-10-02,2025-10-01,CDD,Industries Chimiques Du Senegal,goafricaonline.com,BTP & Industrie,"communication, finance, rh",10-15,10.0,15.0
Éducatrice Préscolaire,Dakar,2025-10-02,2025-10-01,CDD,Industries Chimiques Du Senegal,goafricaonline.com,BTP & Industrie,"communication, finance, rh",5-8,5.0,8.0
Responsable de Pièces de Rechange Multi-sites,Dakar,2025-10-02,2025-10-01,CDI,La Laiterie Du Berger,goafricaonline.com,Agriculture & Agroalimentaire,logistique,Non spécifié,,
Assistant Administratif et RH,Dakar,2025-10-02,2025-10-01,CDD,GPF SARL,goafricaonline.com,"Finance, Banque & Comptabilité","rh, finance",Non spécifié,,
Contrôleur Financier Sénior,Dakar,2025-10-02,2025-10-01,CDD,ECO AFRIQUE,goafricaonline.com,"Finance, Banque & Comptabilité",finance,Non spécifié,,
Spécialiste VBG,Dakar,2025-10-02,2025-10-01,CDD,DRC,goafricaonline.com,ONG & Humanitaire,"gestion de projet, santé",Non spécifié,,
Cuisinier(e),Dakar,2025-10-02,2025-10-01,CDD,Meg&Mag Food,goafricaonline.com,Commerce & Vente,,Non spécifié,,
Senior Finance Coordinator,Dakar,2025-10-02,2025-10-01,CDD,HUMAN APPEAL INTER.,goafricaonline.com,ONG & Humanitaire,"finance, gestion de projet",Non spécifié,,
Responsable Électricité & Performance Énergétique,Dakar,2025-10-02,2025-10-01,Non spécifié,Senegalaise Industrie Commerce - Senico Sa,goafricaonline.com,BTP & Industrie,"marketing, vente, programmation, communication, rh, santé, gestion de projet",2-3,2.0,3.0
Responsable Maintenance Centrale,Dakar,,,Non spécifié,Senegalaise Industrie Commerce - Senico Sa,goafricaonline.com,BTP & Industrie,"marketing, vente, programmation, communication, rh, santé, gestion de projet",2-3,2.0,3.0
Infirmière Stagiaire,Dakar,2025-10-02,2025-10-01,CDD,TECTRA SENEGAL,goafricaonline.com,RH & Recrutement,,Non spécifié,,
Senior Associé - Auditeur Financier H/F,Dakar,2025-10-02,2025-10-01,CDI,CABINET CARREE,goafricaonline.com,"Finance, Banque & Comptabilité","finance, vente",Non spécifié,,
Responsable QHSE (H/F) -,Dakar,2025-10-02,2025-10-01,CDD,TECTRA SENEGAL,goafricaonline.com,RH & Recrutement,"programmation, gestion de projet",Non spécifié,,
Charge conformite charia h/f,Dakar,2025-10-02,2025-10-01,CDD,Banque Islamique Du Senegal-Bis,goafricaonline.com,"Finance, Banque & Comptabilité",finance,8,8.0,8.0
Chef de Parc Logistique,Dakar,2025-10-02,2025-10-01,CDI,ACL,goafricaonline.com,Transport & Logistique,"santé, logistique",2,2.0,2.0
Assistant(e) Chargé(e) de programmes,Dakar,2025-10-02,2025-10-01,CDD,VILLAGE PILOTE,goafricaonline.com,ONG & Humanitaire,"programmation, marketing, gestion de projet, data analyse",Non spécifié,,
Assistant de Direction H/F,Dakar,2025-10-02,2025-10-01,CDD,GPF SARL,goafricaonline.com,"Finance, Banque & Comptabilité",finance,10,10.0,10.0
Chef de Projet Télécom – Delivery center (H/F),Dakar,2025-10-02,2025-10-01,Stage,GALIMATECH,goafricaonline.com,Technologie & Informatique,"communication, gestion de projet",5,5.0,5.0
Agent Consulaire – Traitement et Suivi des Dossiers Visas,Dakar,2025-10-02,2025-10-01,CDD,Ambassade De France Au Senegal,goafricaonline.com,Administration & Services publics,,Non spécifié,,
Développeur·euse Fullstack React & Laravel,Dakar,2025-10-02,2025-10-01,CDD,Cocoon,goafricaonline.com,Santé & Bien-être,"gestion de projet, data analyse, programmation",Non spécifié,,
Designer Bilingue,Dakar,2025-10-02,2025-10-01,CDD,CARLCARE SERVICE,goafricaonline.com,Transport & Logistique,marketing,Non spécifié,,
Chargé de Clientèle en Réception d’Appels,Dakar,2025-10-02,2025-10-01,CDD/CDI,INTELCIA,goafricaonline.com,Marketing & Communication,"marketing, communication",Non spécifié,,
Spécialiste Régional de la Gestion des Subventions et des Opérations Multi-pays,Dakar,2025-10-02,2025-10-01,CDD,DRC,goafricaonline.com,ONG & Humanitaire,"finance, communication, gestion de projet",Non spécifié,,
HR Operations Coordinator,Dakar,2025-10-02,2025-10-01,CDD,DRC,goafricaonline.com,ONG & Humanitaire,rh,Non spécifié,,
Technicien IT,Dakar,2025-10-02,2025-10-01,CDD,Esmt (Ecole Superieure Multinationale Des Telecommunications),goafricaonline.com,Education & Formation,"marketing, programmation, vente, communication, finance, data analyse, santé, gestion de projet",2,2.0,2.0
06 Secrétaires,Dakar,2025-10-02,2025-10-01,CDD,Senelec (Societe Nationale D'Electricite),goafricaonline.com,BTP & Industrie,logistique,Non spécifié,,
Assistant chargé de la TVA et du BNC,Dakar,2025-10-02,2025-10-01,CDD,Senelec (Societe Nationale D'Electricite),goafricaonline.com,BTP & Industrie,data analyse,Non spécifié,,
03 Assistants Comptables et Financiers,Dakar,2025-10-02,2025-10-01,CDD,Senelec (Societe Nationale D'Electricite),goafricaonline.com,BTP & Industrie,finance,2,2.0,2.0
10 Agents Commerciaux et Digitaux,Dakar,2025-10-02,2025-10-01,CDD,TERANGA GROUP,goafricaonline.com,Technologie & Informatique,"marketing, vente, programmation, communication, data analyse, gestion de projet",5,5.0,5.0
Gestionnaire de Paie Confirmé,Dakar,2025-10-02,2025-10-01,CDD,NEOPROD iNTERNATIONAL,goafricaonline.com,"Finance, Banque & Comptabilité",finance,1,1.0,1.0
Community Manager,Dakar,2025-10-02,2025-10-01,Stage,PREINOV AFRIQUE,goafricaonline.com,Technologie & Informatique,"marketing, communication, gestion de projet",Non spécifié,,
Stage d’adaptation Technico-commercial(e),Dakar,2025-10-02,2025-10-01,Stage,GRAZEINA TECHNOLOGIES,goafricaonline.com,Sécurité,"marketing, vente, communication, data analyse, rh, logistique",2,2.0,2.0
Chef d’Ateliers Mecaniques Agricole,Dakar,2025-10-02,2025-10-01,CDD,RPORTH,goafricaonline.com,"Finance, Banque & Comptabilité",rh,Non spécifié,,
Stagiaire Chargé d’Animaiton Éditoriale Web & App,Dakar,,,Stage,CANAL+ SENEGAL,goafricaonline.com,Marketing & Communication,"marketing, vente, communication, rh, gestion de projet",2,2.0,2.0
Responsable Training Factory,Dakar,2025-10-02,2025-10-01,Stage,CANAL+ SENEGAL,goafricaonline.com,Marketing & Communication,"marketing, vente, programmation, communication, rh, gestion de projet",5,5.0,5.0
Charge (e) de suivit évaluation,Dakar,2025-10-02,2025-10-01,CDD,ANPE,goafricaonline.com,RH & Recrutement,"communication, data analyse, gestion de projet",2,2.0,2.0
Agent commercial,Non spécifié,2025-10-02,2025-10-01,CDD,GROUPE 2IJ CONSULTING,goafricaonline.com,Non spécifié,"marketing, vente, finance, communication, programmation, rh, gestion de projet",10,10.0,10.0
Responsable Veille éditoriale,Dakar,2025-10-02,2025-10-01,CDD,ELITE RH,goafricaonline.com,RH & Recrutement,communication,Non spécifié,,
Assistante Bureautique (Stagiaire),Dakar,2025-10-02,2025-10-01,CDD,Estel (Ecole Superieure Des Metiers Du Management Et Des Langues),goafricaonline.com,Education & Formation,"marketing, programmation, vente, communication, finance, santé, logistique, gestion de projet",2,2.0,2.0
(06) Educateurs spécialisés (stagiaires),Dakar,2025-10-02,2025-10-01,CDD,Estel (Ecole Superieure Des Metiers Du Management Et Des Langues),goafricaonline.com,Education & Formation,"communication, gestion de projet",2,2.0,2.0
Programme de Stagiaires Diplomés – Nestlé Sénégal,Dakar,2025-10-02,2025-10-01,Non spécifié,NESTLE SENEGAL,goafricaonline.com,BTP & Industrie,"communication, gestion de projet",2,2.0,2.0
Reconciliation Officer,Dakar,2025-10-02,2025-10-01,CDD,WAVE,goafricaonline.com,"Finance, Banque & Comptabilité","finance, data analyse, programmation, gestion de projet",3,3.0,3.0
Stagiaire en Ingénierie calcul scientifique,Dakar,2025-10-02,2025-10-01,Stage,CINERI,goafricaonline.com,Technologie & Informatique,"finance, logistique, gestion de projet",Non spécifié,,
tagiaire en Administration Système HPC,Dakar,2025-10-02,2025-10-01,Stage,CINERI,goafricaonline.com,Technologie & Informatique,"finance, logistique, gestion de projet",Non spécifié,,
Ingénierie expert pour le calcul scientifique,Dakar,2025-10-02,2025-10-01,Stage,CINERI,goafricaonline.com,Technologie & Informatique,"finance, logistique, gestion de projet",Non spécifié,,
Administrateur Système HPC,Dakar,2025-10-02,2025-10-01,Stage,CINERI,goafricaonline.com,Technologie & Informatique,"finance, logistique, gestion de projet",Non spécifié,,
Responsable des ventes – France,Dakar,2025-10-02,2025-10-01,CDI,ANYVAN,goafricaonline.com,Transport & Logistique,"marketing, vente, communication, data analyse, programmation, rh, logistique",2,2.0,2.0
"Talent Acquisition Partner – France (Contract, Dakar)",Dakar,2025-10-02,2025-10-01,CDI,ANYVAN,goafricaonline.com,Transport & Logistique,"marketing, vente, communication, data analyse, programmation, rh, logistique",2,2.0,2.0
Sales Executive – France,Dakar,2025-10-02,2025-10-01,CDI,ANYVAN,goafricaonline.com,Transport & Logistique,"marketing, vente, communication, data analyse, programmation, rh, logistique",2,2.0,2.0
Directeur financier et comptable (,Dakar,2025-10-02,2025-10-01,CDD,ALDELIA SENEGAL,goafricaonline.com,RH & Recrutement,finance,Non spécifié,,
Auditeur it,Dakar,2025-10-02,2025-10-01,CDD,Fbn Bank Senegal Ltd,goafricaonline.com,"Finance, Banque & Comptabilité","communication, finance",Non spécifié,,
Responsable technique terrain – chef d'equipe (1),Dakar,2025-10-02,2025-10-01,CDD,MAG INTERNATIONAL,goafricaonline.com,ONG & Humanitaire,communication,Non spécifié,,
Chef·fe de projet développement du parasport,Dakar,2025-10-02,2025-10-01,CDD,France Volontaires // Espace Volontariats Senegal,goafricaonline.com,ONG & Humanitaire,"finance, logistique, gestion de projet",Non spécifié,,
Chauffeur – Livreur,Dakar,2025-10-02,2025-10-01,CDD,RPORTH,goafricaonline.com,"Finance, Banque & Comptabilité",logistique,2,2.0,2.0
Assistant(e) logistique,Dakar,2025-10-02,2025-10-01,CDD,OXFAM AMERICA,goafricaonline.com,ONG & Humanitaire,logistique,Non spécifié,,
Technico commercial Pièces de Rechange Auto,Dakar,2025-10-02,2025-10-01,CDD,SERVTEC Sénégal,goafricaonline.com,RH & Recrutement,"marketing, vente, finance, communication, data analyse, programmation, rh, santé, gestion de projet",2-3,2.0,3.0
Cadre commercial,Dakar,2025-10-02,2025-10-01,CDD,SERVTEC Sénégal,goafricaonline.com,RH & Recrutement,"marketing, vente, finance, communication, data analyse, programmation, rh, santé, gestion de projet",4,4.0,4.0
Directeur commercial,Dakar,2025-10-02,2025-10-01,CDD,SERVTEC Sénégal,goafricaonline.com,RH & Recrutement,"marketing, vente, finance, communication, data analyse, programmation, rh, santé, gestion de projet",5,5.0,5.0
Chef d’atelier carrosserie,Dakar,2025-10-02,2025-10-01,CDD,SERVTEC Sénégal,goafricaonline.com,RH & Recrutement,"marketing, vente, finance, communication, data analyse, programmation, rh, santé, gestion de projet",5,5.0,5.0
Responsable Agronomie,Dakar,2025-10-02,2025-10-01,CDD,PROFIL,goafricaonline.com,"Finance, Banque & Comptabilité",data analyse,5-10,5.0,10.0
Responsable Comptable,Dakar,2025-10-02,2025-10-01,CDD,MYRIAD,goafricaonline.com,Marketing & Communication,"vente, finance, programmation, communication, rh",2-3,2.0,3.0
Assistant Audit,Dakar,2025-10-02,2025-10-01,CDD,WORLD VISION SENEGAL,goafricaonline.com,ONG & Humanitaire,"finance, rh",Non spécifié,,
Studio Design Manage,Dakar,2025-09-26,2025-09-01,CDD,COJOJ DAKAR 2026,goafricaonline.com,Sport & Loisirs,"communication, gestion de projet",5,5.0,5.0
Assistant Activités Culturelles,Dakar,2025-09-26,2025-09-01,CDD,COJOJ DAKAR 2026,goafricaonline.com,Sport & Loisirs,"communication, logistique, gestion de projet",2-5,2.0,5.0
Régisseur d’Évènement,Dakar,2025-09-26,2025-09-01,CDD,COJOJ DAKAR 2026,goafricaonline.com,Sport & Loisirs,"communication, logistique, gestion de projet",5,5.0,5.0
Coordinateur post-production,Dakar,2025-09-26,2025-09-01,CDD,COJOJ DAKAR 2026,goafricaonline.com,Sport & Loisirs,"communication, gestion de projet",Non spécifié,,
Portfolio Senior Assistant,Dakar,2025-09-26,2025-09-01,CDD,UNOPS,goafricaonline.com,ONG & Humanitaire,"communication, finance, data analyse, logistique, gestion de projet",5,5.0,5.0
Scheduling Manager,Dakar,2025-09-26,2025-09-01,CDD,WAVE,goafricaonline.com,"Finance, Banque & Comptabilité","data analyse, communication",5,5.0,5.0
Coordinateur·rice National·e. – FAWE Sénégal,Dakar,2025-09-26,2025-09-01,CDD,Fawe Forum Des Educatrices Africaines Section Senegalaise,goafricaonline.com,ONG & Humanitaire,"finance, gestion de projet",Non spécifié,,
Stage Chargé(e) création de contenu 1 mois non rémunéré,Dakar,2025-09-26,2025-09-01,Stage,GRAZEINA TECHNOLOGIES,goafricaonline.com,Sécurité,"marketing, vente, communication, rh, logistique",2,2.0,2.0
Testeur Fonctionnel SQUASH,Dakar,2025-09-26,2025-09-01,Stage,GALIMATECH,goafricaonline.com,Technologie & Informatique,,3,3.0,3.0
Chargé des Ressources Humaines et de l’Administration,Dakar,,,CDD,Ficr (Federation Internationale Des Societes De La Croix-Rouge Et Du Croissant-Rouge),goafricaonline.com,ONG & Humanitaire,rh,Non spécifié,,
Ingénieur Qualité Logicielle (QA / TEST),Dakar,2025-09-25,2025-09-01,CDD,COJOJ DAKAR 2026,goafricaonline.com,Sport & Loisirs,"programmation, gestion de projet",3,3.0,3.0
Responsable des Ressources Humaines,Dakar,,,CDD,TOPWORK SENEGAL,goafricaonline.com,RH & Recrutement,"communication, rh",Non spécifié,,
Graphiste Print Confirmé,Dakar,2025-09-25,2025-09-01,Stage,CANAL+ SENEGAL,goafricaonline.com,Marketing & Communication,"marketing, vente, communication, rh, gestion de projet",2,2.0,2.0
Stagiaire – Infographiste / Designer visuel (H/F),Dakar,2025-09-25,2025-09-01,Stage,GALIMATECH,goafricaonline.com,Technologie & Informatique,"marketing, communication, finance, logistique, gestion de projet",Non spécifié,,
Recruteur Technique,Dakar,2025-09-25,2025-09-01,CDD,WAVE,goafricaonline.com,"Finance, Banque & Comptabilité",,Non spécifié,,
Responsable des opérations financières,Dakar,2025-09-25,2025-09-01,CDD,MASTERCARD FOUNDATION,goafricaonline.com,ONG & Humanitaire,"communication, finance, gestion de projet",Non spécifié,,
Representant Commercial Independant,Dakar,2025-09-25,2025-09-01,Stage,SORIBA BAYO COMPANY,goafricaonline.com,Technologie & Informatique,"vente, marketing",0-2,0.0,2.0
Coursier,Dakar,2025-09-25,2025-09-01,CDD,Phoenix Consulting Group Sn,goafricaonline.com,RH & Recrutement,"logistique, finance",2,2.0,2.0
Assistant QHSE & Logistique,Dakar,2025-09-25,2025-09-01,CDI,La Laiterie Du Berger,goafricaonline.com,Agriculture & Agroalimentaire,"logistique, communication",3,3.0,3.0
Comptable,Dakar,2025-09-25,2025-09-01,CDD,Phoenix Consulting Group Sn,goafricaonline.com,RH & Recrutement,finance,Non spécifié,,
Chauffeur,Dakar,2025-09-25,2025-09-01,CDD,Phoenix Consulting Group Sn,goafricaonline.com,RH & Recrutement,logistique,3,3.0,3.0
Gérante Opérationnelle / Responsable de Salon,Dakar,2025-09-25,2025-09-01,Non spécifié,BODY ZEN,goafricaonline.com,Santé & Bien-être,"marketing, vente, communication, finance, programmation, logistique, gestion de projet",Non spécifié,,
Agent de Sécurité,Dakar,2025-09-25,2025-09-01,CDD,MAG INTERNATIONAL,goafricaonline.com,ONG & Humanitaire,"logistique, communication",Non spécifié,,
Agent de Ménage & Cuisine,Dakar,2025-09-25,2025-09-01,CDD,MAG INTERNATIONAL,goafricaonline.com,ONG & Humanitaire,logistique,Non spécifié,,
Stagiaire en Moyens Généraux - Dakar,Dakar,2025-09-25,2025-09-01,CDD,Majorel Site Jambaar,goafricaonline.com,Marketing & Communication,"logistique, communication",Non spécifié,,
"Directeur de la Communication Stratégique, du Lobbying, de l’Influence",Dakar,2025-09-25,2025-09-01,CDI,TECTRA SENEGAL,goafricaonline.com,RH & Recrutement,"marketing, communication, finance",Non spécifié,,
"Responsable ESG, Impact et Assistance Technique (H/F)",Dakar,2025-09-25,2025-09-01,CDD,TECTRA SENEGAL,goafricaonline.com,RH & Recrutement,"finance, communication, data analyse",Non spécifié,,
Portier,Dakar,2025-09-25,2025-09-01,CDI,HOTEL RESIDENCE NGARY,goafricaonline.com,Tourisme & Hôtellerie,logistique,Non spécifié,,
Concierge,Dakar,2025-09-25,2025-09-01,CDI,HOTEL RESIDENCE NGARY,goafricaonline.com,Tourisme & Hôtellerie,,Non spécifié,,
Chef Cuisinier,Dakar,2025-09-25,2025-09-01,CDI,HOTEL RESIDENCE NGARY,goafricaonline.com,Tourisme & Hôtellerie,,Non spécifié,,
Réceptionniste,Dakar,2025-09-25,2025-09-01,CDI,HOTEL RESIDENCE NGARY,goafricaonline.com,Tourisme & Hôtellerie,,Non spécifié,,
Comptable,Dakar,2025-09-25,2025-09-01,CDI,HOTEL RESIDENCE NGARY,goafricaonline.com,Tourisme & Hôtellerie,finance,Non spécifié,,
Directeur d’Hôtel,Dakar,2025-09-25,2025-09-01,CDI,HOTEL RESIDENCE NGARY,goafricaonline.com,Tourisme & Hôtellerie,"finance, communication, vente",Non spécifié,,
Technicien d’Intervention en Hauteur,Dakar,2025-09-25,2025-09-01,CDD,AFRIC MANAGEMENT,goafricaonline.com,RH & Recrutement,"marketing, vente, finance, communication, data analyse, programmation, rh, santé, gestion de projet",2,2.0,2.0
100 Professeurs,Dakar,2025-09-25,2025-09-01,Non spécifié,JANGALMA,goafricaonline.com,Education & Formation,finance,5,5.0,5.0
Administrateur(rice) de Bureau de Casamance,Dakar,2025-09-25,2025-09-01,CDD,MAG INTERNATIONAL,goafricaonline.com,ONG & Humanitaire,"finance, rh",Non spécifié,,
Enquêteur Sénior,Dakar,2025-09-25,2025-09-01,CDD,SEN INTERIM,goafricaonline.com,RH & Recrutement,"marketing, vente, finance, communication, data analyse, programmation, rh, santé, gestion de projet",3,3.0,3.0
Enquêteur Junior,Dakar,2025-09-25,2025-09-01,CDD,SEN INTERIM,goafricaonline.com,RH & Recrutement,"marketing, vente, finance, communication, data analyse, programmation, rh, santé, gestion de projet",3,3.0,3.0
Coordinateur de Projets Stratégiques,Dakar,2025-09-25,2025-09-01,CDD,ENKO INTERNATIONAL SCHOOL,goafricaonline.com,Education & Formation,"marketing, programmation, vente, communication, finance, santé, gestion de projet",2,2.0,2.0
