intitule_poste,ville,date_publication,mois,contrat,entreprise,source,secteur,competences,experience,exp_min,exp_max
Risk and compliance officer,Dakar,2026-01-07,2026-01-01,CDD,UNICEF,goafricaonline.com,ONG & Humanitaire,"data analyse, gestion de projet",Non spécifié,,
Chauffeur Livreur,Dakar,2026-01-07,2026-01-01,CDD,AGROPONIC,goafricaonline.com,Agriculture & Agroalimentaire,"vente, programmation, logistique, gestion de projet",5,5.0,5.0
Infectious disease surveillance adviso,Dakar,2026-01-07,2026-01-01,CDD,PATH,goafricaonline.com,ONG & Humanitaire,"data analyse, gestion de projet, santé",Non spécifié,,
Senior learning & development specialist,Dakar,2026-01-07,2026-01-01,CDD,WAVE,goafricaonline.com,"Finance, Banque & Comptabilité","communication, data analyse",Non spécifié,,
Responsable cellule vérification et contrôle des agences,Dakar,2026-01-07,2026-01-01,CDD,Banque Islamique Du Senegal-Bis,goafricaonline.com,"Finance, Banque & Comptabilité",finance,Non spécifié,,
Stagiaire business developer,Dakar,2026-01-07,2026-01-01,Stage,VOX AGENCY SAS,goafricaonline.com,Marketing & Communication,"gestion de projet, vente",Non spécifié,,
Stagiaire motion designer,Dakar,2026-01-07,2026-01-01,Stage,VOX AGENCY SAS,goafricaonline.com,Marketing & Communication,,Non spécifié,,
Stagiaire en production audiovisuelle photographie documentaire,Dakar,2026-01-07,2026-01-01,Stage,VOX AGENCY SAS,goafricaonline.com,Marketing & Communication,,Non spécifié,,
Interprète bilingue chinois-anglais,Dakar,2026-01-07,2026-01-01,CDD,MBS GROUP,goafricaonline.com,BTP & Industrie,communication,Non spécifié,,
Technicien en ascenseurs,Dakar,2026-01-07,2026-01-01,CDD,EASYLIFT,goafricaonline.com,BTP & Industrie,non spécifié,Non spécifié,,
Technicien du froid,Dakar,2026-01-07,2026-01-01,CDD,KebLink,goafricaonline.com,Technologie & Informatique,,Non spécifié,,
Stagiaire knowledge management and communications,Dakar,2026-01-07,2026-01-01,Stage,VOX AGENCY SAS,goafricaonline.com,Marketing & Communication,communication,Non spécifié,,
Chargé(e) de suivi évaluation et apprentissage – Projet WASOP-3,Dakar,2026-01-07,2026-01-01,CDD,Iucn (Union Mondiale Pour La Conservation De La Nature),goafricaonline.com,ONG & Humanitaire,"gestion de projet, programmation",Non spécifié,,
Bibliothécaire,Dakar,2026-01-07,2026-01-01,Non spécifié,VENKO,goafricaonline.com,Education & Formation,"communication, gestion de projet",3,3.0,3.0
Responsable des ventes et de la clientèle,Dakar,2026-01-07,2026-01-01,Non spécifié,VENKO,goafricaonline.com,Education & Formation,"vente, marketing, communication",Non spécifié,,
Assistant Technique des Travaux,Dakar,2026-01-07,2026-01-01,CDD,SCI DAKAR RESIDENCES,goafricaonline.com,BTP & Industrie,non spécifié,3,3.0,3.0
Directeur des Systèmes d’Information,Dakar,2026-01-07,2026-01-01,CDI,ECO AFRIQUE,goafricaonline.com,"Finance, Banque & Comptabilité","finance, gestion de projet",Non spécifié,,
"Data Quality Specialist, Malaria and Neglected Tropical Diseases (MNTD), REACH Malaria",Dakar,2026-01-07,2026-01-01,CDD,PATH,goafricaonline.com,ONG & Humanitaire,"visualisation de données, communication, data analyse, santé, gestion de projet",3,3.0,3.0
Cariste,Dakar,2026-01-07,2026-01-01,CDD,GLOBAL BUSINESS GROUP - GBG,goafricaonline.com,"Finance, Banque & Comptabilité",logistique,Non spécifié,,
Assistant(e) de direction,Dakar,2026-01-07,2026-01-01,Stage,SIGMA ONE,goafricaonline.com,Transport & Logistique,finance,Non spécifié,,
Consultant expert commercial & marketing btob,Dakar,2026-01-07,2026-01-01,Stage,SIGMA ONE,goafricaonline.com,Transport & Logistique,"vente, marketing, finance",5,5.0,5.0
Expert commercial/marketing,Dakar,2026-01-07,2026-01-01,Stage,SIGMA ONE,goafricaonline.com,Transport & Logistique,"vente, marketing, communication",5,5.0,5.0
Junior digital factory,Dakar,2026-01-07,2026-01-01,Stage,SIGMA ONE,goafricaonline.com,Transport & Logistique,vente,Non spécifié,,
